Cross section of neutrinos of energy E (MeV) scattering off 136Xe in units of cm^2

E	CS
0.0	0.0
0.2	1.1162184458e-55
0.4	4.00079626037e-48
0.6	2.37404246437e-47
0.8	7.20530637505e-47
1.0	1.66116139211e-46
1.2	3.59449742638e-45
1.4	7.37677159954e-45
1.6	1.42497046775e-44
1.8	7.10214302636e-44
2.0	1.12372630844e-43
2.2	1.62668007674e-43
2.4	2.35750449798e-43
2.6	3.16892855726e-43
2.8	4.079173935e-43
3.0	5.10782911412e-43
3.2	6.51460539617e-43
3.4	7.94624285814e-43
3.6	9.62498374511e-43
3.8	1.15088130735e-42
4.0	1.35580726663e-42
4.2	1.58250669932e-42
4.4	1.84286520548e-42
4.6	2.11622646204e-42
4.8	2.4114731662e-42
5.0	2.72938189666e-42
5.2	3.06930534256e-42
5.4	3.43220866316e-42
5.6	3.8174725974e-42
5.8	4.22543344874e-42
6.0	4.65615535668e-42
6.2	5.10969825107e-42
6.4	5.58611575457e-42
6.6	6.18970829705e-42
6.8	6.77822961384e-42
7.0	7.40456459568e-42
7.2	8.06782714581e-42
7.4	8.7677385343e-42
7.6	9.50337964037e-42
7.8	1.02751683717e-41
8.0	1.1083038447e-41
8.2	1.23935639321e-41
8.4	1.3633163121e-41
8.6	1.50115666964e-41
8.8	1.65178838996e-41
9.0	1.81489752142e-41
9.2	1.99028015037e-41
9.4	2.17776527725e-41
9.6	2.37722428241e-41
9.8	2.58858705646e-41
10.0	2.81224827249e-41
