 DECAY0 generated file: 0nu2bplus_test.dat                      

  date and hour         :   12. 6.2019    10:36: 8
  initial random number :            0
    
  event type: Xe124           
              0nubb(mn) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
  2  0.584806      0.334874     -0.128782      0.00000    
  2  0.451625      0.374648      0.594551      0.00000    
      48  0.00000       2
  2  0.285932E-01  0.338816      0.483099      0.00000    
  2  0.919904      0.463058E-01  0.255026E-01  0.00000    
      49  0.00000       2
  2  0.214484     -0.151600      0.597042      0.00000    
  2 -0.642856     -0.542666     -0.208437      0.00000    
      50  0.00000       2
  2  0.503731     -0.109443      0.588304      0.00000    
  2 -0.234351     -0.562479E-01  0.701104      0.00000    
      51  0.00000       2
  2  0.854087E-01  0.291155     -0.684824      0.00000    
  2 -0.174011     -0.739239     -0.152652      0.00000    
      52  0.00000       2
  2 -0.213298E-01 -0.576372     -0.778413      0.00000    
  2 -0.450483      0.286266     -0.271871E-01  0.00000    
      53  0.00000       2
  2 -0.866733E-01  0.383978      0.764481      0.00000    
  2 -0.403603E-01 -0.658477      0.404992E-02  0.00000    
      54  0.00000       2
  2  0.809342     -0.454962     -0.310518E-01  0.00000    
  2  0.501574     -0.138407      0.260737      0.00000    
      55  0.00000       2
  2 -0.142368     -0.117492E-01 -0.913022      0.00000    
  2 -0.204613     -0.532219      0.142057      0.00000    
      56  0.00000       2
  2  0.677826      0.461551      0.417541      0.00000    
  2 -0.316280     -0.400089E-01 -0.498997      0.00000    
      57  0.00000       2
  2 -0.416254      0.649819     -0.337976      0.00000    
  2 -0.214245     -0.194993      0.613544      0.00000    
      58  0.00000       2
  2  0.529248      0.323167     -0.104365      0.00000    
  2 -0.826863     -0.143555      0.289951      0.00000    
      59  0.00000       2
  2 -0.338946     -0.314038      0.174930      0.00000    
  2 -0.486063     -0.339562     -0.806575      0.00000    
      60  0.00000       2
  2  0.478697     -0.361156      0.411267      0.00000    
  2 -0.317530      0.272082      0.677452      0.00000    
      61  0.00000       2
  2  0.294281     -0.604761      0.121787      0.00000    
  2 -0.478615     -0.275548E-01  0.687069      0.00000    
      62  0.00000       2
