 DECAY0 generated file: test2nukb+                              

  date and hour         :    4. 6.2019    10:29:42
  initial random number :            0
    
  event type: Xe124           
              2nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  1 -0.109429E-01 -0.231550E-01  0.188505E-01  0.00000    
      43  0.00000       2
  2 -0.547771E-01  -1.05502     -0.768250      0.00000    
  1  0.128295E-01  0.256911E-02  0.289835E-01  0.00000    
      44  0.00000       2
  2  -1.18100      0.238804     -0.665655E-01  0.00000    
  1 -0.244436E-01  0.682912E-02  0.191602E-01  0.00000    
      45  0.00000       2
  2  0.675178      0.160412      0.737792      0.00000    
  1  0.220952E-01 -0.228596E-01 -0.691570E-03  0.00000    
      46  0.00000       2
  2  0.632651      0.325117      0.257881      0.00000    
  1 -0.179392E-01 -0.427055E-02  0.259073E-01  0.00000    
      47  0.00000       2
  2 -0.467471      0.385086      0.428632      0.00000    
  1  0.216037E-01 -0.921746E-02 -0.214373E-01  0.00000    
      48  0.00000       2
  2  0.279441      -1.14259     -0.554490E-01  0.00000    
  1 -0.377671E-02  0.200296E-01 -0.244088E-01  0.00000    
      49  0.00000       2
  2 -0.994448E-01 -0.630711     -0.161883E-02  0.00000    
  1 -0.164494E-01 -0.508862E-02 -0.267351E-01  0.00000    
      50  0.00000       2
  2 -0.717707     -0.216223      0.384327      0.00000    
  1 -0.256504E-01 -0.180892E-01  0.510684E-02  0.00000    
      51  0.00000       2
  2  0.433888      0.152430       1.07384      0.00000    
  1 -0.235789E-01  0.206518E-01  0.536482E-02  0.00000    
      52  0.00000       2
  2  0.227530     -0.228803     -0.161639E-01  0.00000    
  1 -0.209418E-01  0.108613E-01  0.213240E-01  0.00000    
      53  0.00000       2
  2  0.352718E-02  0.285325      0.401430      0.00000    
  1 -0.402518E-03  0.207553E-02 -0.317296E-01  0.00000    
      54  0.00000       2
  2  0.134590E-01 -0.490023      0.303817      0.00000    
  1  0.476364E-02  0.307040E-02  0.312909E-01  0.00000    
      55  0.00000       2
  2  0.666061     -0.589219     -0.934484      0.00000    
  1  0.293750E-01  0.107047E-01  0.581023E-02  0.00000    
      56  0.00000       2
  2  0.359088     -0.543875      0.211111E-01  0.00000    
  1 -0.245855E-01  0.201390E-01 -0.110162E-02  0.00000    
      57  0.00000       2
  2 -0.281907     -0.283128      0.592044      0.00000    
  1 -0.642576E-02 -0.204943E-01  0.234507E-01  0.00000    
      58  0.00000       2
  2  0.238521     -0.168590      0.663953      0.00000    
  1 -0.235865E-01 -0.199105E-01 -0.764760E-02  0.00000    
      59  0.00000       2
  2 -0.201747      0.236900     -0.799460      0.00000    
  1  0.225717E-01  0.222727E-01 -0.238440E-02  0.00000    
      60  0.00000       2
  2 -0.138776      0.114307E-01  0.592850      0.00000    
  1  0.155073E-01 -0.240411E-01 -0.138849E-01  0.00000    
      61  0.00000       2
  2  0.502918     -0.103370      0.375991      0.00000    
  1  0.277273E-01 -0.765295E-02 -0.135599E-01  0.00000    
      62  0.00000       2
  2 -0.793795     -0.785619     -0.232688      0.00000    
  1 -0.178585E-01  0.224925E-01  0.136528E-01  0.00000    
      63  0.00000       2
  2 -0.907140E-01 -0.389686     -0.541116      0.00000    
  1 -0.489900E-02 -0.404299E-03 -0.314178E-01  0.00000    
      64  0.00000       2
  2 -0.473279      0.108359      0.669931      0.00000    
  1 -0.460182E-02  0.314395E-01 -0.127369E-02  0.00000    
      65  0.00000       2
  2 -0.316548     -0.288104      0.906515      0.00000    
  1  0.115632E-01  0.284132E-01  0.838000E-02  0.00000    
      66  0.00000       2
  2  0.161146     -0.863446     -0.151473      0.00000    
  1  0.267639E-01  0.163425E-01 -0.527773E-02  0.00000    
      67  0.00000       2
  2  -1.16279      0.901947E-01  0.750140      0.00000    
  1 -0.316560E-01 -0.177653E-02 -0.244552E-02  0.00000    
      68  0.00000       2
  2 -0.322015      -1.11679      0.821012E-01  0.00000    
  1  0.187289E-01  0.474634E-02 -0.252575E-01  0.00000    
      69  0.00000       2
  2  0.661001      0.334316      0.697882E-01  0.00000    
  1 -0.176369E-01  0.951016E-02 -0.246928E-01  0.00000    
      70  0.00000       2
  2  0.926873      0.425417E-01 -0.959126      0.00000    
  1 -0.259093E-01 -0.165945E-01 -0.803570E-02  0.00000    
      71  0.00000       2
  2  0.584569     -0.798568     -0.150448      0.00000    
  1 -0.206347E-01  0.135820E-01  0.200245E-01  0.00000    
      72  0.00000       2
  2  0.226939     -0.211041      0.789856      0.00000    
  1 -0.240107E-03 -0.316150E-01 -0.341681E-02  0.00000    
      73  0.00000       2
  2  0.937758      0.447049     -0.319276      0.00000    
  1 -0.301437E-02  0.311755E-01 -0.549950E-02  0.00000    
      74  0.00000       2
  2  0.211144      -1.08602     -0.268347      0.00000    
  1 -0.924742E-02  0.250587E-01  0.172565E-01  0.00000    
      75  0.00000       2
  2  0.143648      0.440722     -0.270294      0.00000    
  1  0.167774E-01  0.199604E-01 -0.182028E-01  0.00000    
      76  0.00000       2
  2  0.727787      0.967718     -0.165579      0.00000    
  1 -0.244740E-01 -0.116996E-01  0.165947E-01  0.00000    
      77  0.00000       2
  2 -0.351496     -0.403610     -0.307661      0.00000    
  1 -0.112257E-01  0.244273E-01 -0.169861E-01  0.00000    
      78  0.00000       2
  2 -0.200347      0.620610      0.793193      0.00000    
  1  0.216142E-01 -0.229298E-01 -0.427707E-02  0.00000    
      79  0.00000       2
  2 -0.554686     -0.190133      0.661365      0.00000    
  1  0.146660E-01 -0.285128E-02  0.280717E-01  0.00000    
      80  0.00000       2
  2 -0.989687E-01 -0.608451      0.593836      0.00000    
  1  0.310636E-02 -0.705127E-02  0.308524E-01  0.00000    
      81  0.00000       2
  2  0.871712     -0.786052      0.342905      0.00000    
  1  0.312723E-01  0.205552E-02  0.539065E-02  0.00000    
      82  0.00000       2
  2 -0.188849      0.555508      0.804724      0.00000    
  1  0.814769E-02  0.302993E-01 -0.517739E-02  0.00000    
      83  0.00000       2
  2   1.26220      0.141014     -0.134915      0.00000    
  1 -0.632437E-02  0.117609E-01  0.288604E-01  0.00000    
      84  0.00000       2
  2  0.741094       1.05009      0.573427E-01  0.00000    
  1  0.185510E-01 -0.175071E-01 -0.189895E-01  0.00000    
      85  0.00000       2
  2  0.136239     -0.557199     -0.447782      0.00000    
  1 -0.304574E-02 -0.147791E-01  0.279918E-01  0.00000    
      86  0.00000       2
  2  0.361314     -0.253912     -0.997832      0.00000    
  1 -0.144124E-01 -0.234428E-01 -0.159360E-01  0.00000    
      87  0.00000       2
  2  0.853474      0.768736E-02 -0.516016      0.00000    
  1  0.299147E-01 -0.902987E-02  0.590007E-02  0.00000    
      88  0.00000       2
  2 -0.537722     -0.730058     -0.387578E-01  0.00000    
  1 -0.838800E-02  0.283124E-01  0.118021E-01  0.00000    
      89  0.00000       2
  2 -0.618299      0.204303      0.526421      0.00000    
  1  0.134409E-01  0.282588E-01  0.565879E-02  0.00000    
      90  0.00000       2
  2 -0.142257      0.254014      0.599549      0.00000    
  1  0.225407E-01  0.116942E-01 -0.191417E-01  0.00000    
      91  0.00000       2
  2 -0.536607     -0.436781      0.523298      0.00000    
  1 -0.119866E-01 -0.251836E-01  0.152757E-01  0.00000    
      92  0.00000       2
  2  -1.04971     -0.809369E-01 -0.241606      0.00000    
  1 -0.159343E-01 -0.680663E-02  0.266648E-01  0.00000    
      93  0.00000       2
  2  0.363702     -0.673829      0.870818E-01  0.00000    
  1  0.132029E-01 -0.265670E-01  0.114507E-01  0.00000    
      94  0.00000       2
  2  0.638712     -0.167754     -0.410783      0.00000    
  1  0.166642E-02 -0.448972E-03 -0.317531E-01  0.00000    
      95  0.00000       2
  2  0.301136     -0.160519     -0.813645      0.00000    
  1 -0.914188E-02 -0.132208E-01  0.274386E-01  0.00000    
      96  0.00000       2
  2 -0.286240      0.610528      0.382278      0.00000    
  1  0.603293E-02 -0.295819E-01 -0.998775E-02  0.00000    
      97  0.00000       2
