 DECAY0 generated file: 2nu2bplus_test.dat                      

  date and hour         :   12. 6.2019    10:25:34
  initial random number :            0
    
  event type: Xe124           
              2nubb     0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
  2 -0.211063     -0.319298     -0.117348      0.00000    
  2  0.300684      0.127798E-01  0.336682      0.00000    
      47  0.00000       2
  2  0.231672      0.150869      0.355777      0.00000    
  2 -0.160580     -0.979471E-01 -0.262461      0.00000    
      48  0.00000       2
  2 -0.242120     -0.866268E-01 -0.293331      0.00000    
  2  0.550468E-01 -0.595698      0.527126E-01  0.00000    
      49  0.00000       2
  2 -0.689794E-01  0.676678      0.984577E-01  0.00000    
  2 -0.448584     -0.158305      0.177991E-01  0.00000    
      50  0.00000       2
  2  0.274231E-02 -0.231010      0.257663      0.00000    
  2  0.332938     -0.101124     -0.701703      0.00000    
      51  0.00000       2
  2 -0.169217     -0.323540     -0.514018      0.00000    
  2 -0.329950     -0.406549E-01  0.149020      0.00000    
      52  0.00000       2
  2 -0.138767     -0.191705     -0.292100      0.00000    
  2  0.444367E-01  0.375865E-01  0.316902      0.00000    
      53  0.00000       2
  2  0.438991      0.946233E-01  0.254572      0.00000    
  2  0.228197      0.123585      0.117358      0.00000    
      54  0.00000       2
  2  0.549101     -0.156836      0.104561      0.00000    
  2 -0.203286     -0.237322     -0.108968      0.00000    
      55  0.00000       2
  2  0.137836      0.139482      0.218743      0.00000    
  2 -0.214387     -0.116830     -0.575149      0.00000    
      56  0.00000       2
  2 -0.126348      0.126068      0.163744      0.00000    
  2  0.365153     -0.830751E-02  0.185593      0.00000    
      57  0.00000       2
  2  0.165428      0.616691     -0.252551      0.00000    
  2 -0.229112      0.896563E-01  0.264007      0.00000    
      58  0.00000       2
  2  0.191335      0.249520      0.243862      0.00000    
  2 -0.229574     -0.326622     -0.183398      0.00000    
      59  0.00000       2
  2 -0.271387     -0.310433     -0.271852      0.00000    
  2 -0.607325E-01  0.122681      0.627314      0.00000    
      60  0.00000       2
  2  0.246776      0.228661      0.175755      0.00000    
  2 -0.451184     -0.334863      0.301830      0.00000    
      61  0.00000       2
  2 -0.127562E-01  0.309273     -0.323424      0.00000    
  2  0.964058E-01 -0.411153     -0.238855      0.00000    
      62  0.00000       2
  2 -0.290107      0.287467      0.153022      0.00000    
  2  0.283040      0.354648E-01 -0.144534      0.00000    
      63  0.00000       2
  2  0.293650E-01  0.169570      0.485135      0.00000    
  2  0.271312E-01 -0.418656     -0.183227      0.00000    
      64  0.00000       2
  2  0.411487      0.614047E-01  0.518373      0.00000    
  2 -0.307081      0.524897E-01 -0.313956      0.00000    
      65  0.00000       2
  2 -0.258749      0.127632     -0.135470E-01  0.00000    
  2  0.125506     -0.575124      0.309127E-01  0.00000    
      66  0.00000       2
  2  0.471741     -0.312921      0.397634      0.00000    
  2 -0.183178      0.312904      0.858479E-02  0.00000    
      67  0.00000       2
  2 -0.206174     -0.422977E-01 -0.438357      0.00000    
  2  0.258591      0.853942E-01  0.283849      0.00000    
      68  0.00000       2
  2  0.586037E-01  0.523307      0.532832E-01  0.00000    
  2  0.135146     -0.619368     -0.914623E-01  0.00000    
      69  0.00000       2
  2 -0.168068      0.166909      0.214688      0.00000    
  2  0.467847      0.109209      0.103605      0.00000    
      70  0.00000       2
  2  0.302293     -0.947296E-01  0.304525      0.00000    
  2 -0.534766      0.465673E-01  0.273846      0.00000    
      71  0.00000       2
  2  0.553626      0.536012E-01 -0.142178      0.00000    
  2  0.445288     -0.301743E-01 -0.242366      0.00000    
      72  0.00000       2
  2  0.320080      0.597014E-01  0.204847      0.00000    
  2 -0.165525     -0.572418     -0.294561      0.00000    
      73  0.00000       2
  2 -0.486870     -0.497841E-01  0.138990      0.00000    
  2 -0.832286E-01 -0.402414E-01 -0.281828      0.00000    
      74  0.00000       2
  2  0.340150      0.397854     -0.187212      0.00000    
  2 -0.502263E-01 -0.224226      0.361629      0.00000    
      75  0.00000       2
  2  0.162904      0.400353     -0.168357      0.00000    
  2  0.136184      0.727438E-01  0.278532      0.00000    
      76  0.00000       2
  2  0.621663E-01  0.526426      0.209869      0.00000    
  2 -0.424614     -0.240451      0.169745      0.00000    
      77  0.00000       2
  2  0.305696     -0.221419      0.227912      0.00000    
  2 -0.437693      0.210230      0.184316      0.00000    
      78  0.00000       2
  2 -0.478239E-02 -0.231947     -0.370884      0.00000    
  2 -0.790624E-01  0.614523      0.812584E-01  0.00000    
      79  0.00000       2
  2  0.256111     -0.420860     -0.335566E-01  0.00000    
  2 -0.376976      0.330877E-01 -0.254611      0.00000    
      80  0.00000       2
  2 -0.155293     -0.444099     -0.114484E-01  0.00000    
  2 -0.726414E-01  0.130235      0.149942      0.00000    
      81  0.00000       2
  2  0.282222     -0.310734     -0.440565      0.00000    
  2 -0.222424      0.227172      0.472667      0.00000    
      82  0.00000       2
  2  0.388826      0.190218E-01  0.144790      0.00000    
  2  0.849522E-01 -0.306698     -0.163753      0.00000    
      83  0.00000       2
  2  0.142409     -0.138469      0.204422      0.00000    
  2 -0.123246     -0.115648      0.539061      0.00000    
      84  0.00000       2
  2  0.228194E-01 -0.239006     -0.332789E-02  0.00000    
  2  0.301590      0.247439     -0.298694      0.00000    
      85  0.00000       2
  2 -0.253848     -0.264988E-03 -0.137472      0.00000    
  2 -0.421118      0.120018     -0.281360      0.00000    
      86  0.00000       2
  2 -0.114085     -0.486685      0.252885E-01  0.00000    
  2  0.451468      0.124659E-01 -0.372988      0.00000    
      87  0.00000       2
  2 -0.510346     -0.253350     -0.271365      0.00000    
  2  0.111035     -0.467076      0.214822      0.00000    
      88  0.00000       2
  2  0.419380      0.333806     -0.129799      0.00000    
  2  0.172931      0.381466E-01  0.175829      0.00000    
      89  0.00000       2
  2 -0.148015     -0.450633      0.179631      0.00000    
  2 -0.288029      0.468102      0.128766      0.00000    
      90  0.00000       2
  2 -0.216195      0.557096      0.236832      0.00000    
  2 -0.350588     -0.324437E-01  0.219042      0.00000    
      91  0.00000       2
  2  0.250819E-01 -0.452237     -0.119879      0.00000    
  2  0.283483     -0.667570E-01  0.389759      0.00000    
      92  0.00000       2
  2 -0.345984      0.240323     -0.417975      0.00000    
  2  0.519038E-01  0.286049     -0.274785      0.00000    
      93  0.00000       2
  2 -0.264633     -0.373140      0.194328E-01  0.00000    
  2 -0.348651      0.130920      0.125159      0.00000    
      94  0.00000       2
  2 -0.312389E-01  0.286803     -0.452347      0.00000    
  2 -0.416784E-01 -0.612475E-01 -0.551145      0.00000    
      95  0.00000       2
  2  0.478564     -0.285435     -0.417356      0.00000    
  2  0.310059     -0.232787E-01  0.306537      0.00000    
      96  0.00000       2
  2 -0.153007      0.739261E-01 -0.385452      0.00000    
  2 -0.179364      0.715283E-01 -0.690840      0.00000    
      97  0.00000       2
  2 -0.324430      0.358791     -0.326763      0.00000    
  2  0.707594E-01  0.362855      0.127608      0.00000    
      98  0.00000       2
  2 -0.302856      0.369590E-02  0.336897      0.00000    
  2  0.192600     -0.142965E-01  0.234254      0.00000    
      99  0.00000       2
  2  0.304390     -0.271851      0.115603      0.00000    
  2 -0.226074     -0.106837     -0.233004      0.00000    
     100  0.00000       2
  2 -0.146356      0.261042     -0.353771E-01  0.00000    
  2  0.576023      0.275118      0.324868      0.00000    
     101  0.00000       2
  2  0.801912     -0.106460     -0.104870      0.00000    
  2  0.746385E-01 -0.183608      0.403543      0.00000    
     102  0.00000       2
  2  0.120214      0.511018      0.130177      0.00000    
  2 -0.325377     -0.222709      0.220511      0.00000    
     103  0.00000       2
  2  0.950979E-01 -0.310048     -0.574866E-01  0.00000    
  2 -0.465190      0.396721     -0.221689      0.00000    
     104  0.00000       2
  2  0.139058      0.142831     -0.886218E-01  0.00000    
  2  0.557644      0.120029     -0.202416E-01  0.00000    
     105  0.00000       2
  2 -0.400032      0.529614E-01 -0.117775      0.00000    
  2 -0.289435      0.283270      0.370834      0.00000    
     106  0.00000       2
  2 -0.464065     -0.956911E-01 -0.108855E-01  0.00000    
  2  0.178891E-01  0.348550      0.817636E-02  0.00000    
     107  0.00000       2
  2  0.276834      0.254630     -0.644699E-01  0.00000    
  2 -0.283683      0.204599     -0.275665      0.00000    
     108  0.00000       2
  2  0.353345      0.277101     -0.211987      0.00000    
  2 -0.211701E-01 -0.448721     -0.565301E-01  0.00000    
     109  0.00000       2
  2  0.253885E-01  0.138389      0.240264      0.00000    
  2 -0.558190     -0.178468      0.221692      0.00000    
     110  0.00000       2
  2 -0.146421     -0.423999     -0.406579      0.00000    
  2  0.961003E-01  0.302482     -0.138475E-01  0.00000    
     111  0.00000       2
  2  0.674137E-01  0.213277      0.366762      0.00000    
  2 -0.355482      0.101518      0.135303      0.00000    
     112  0.00000       2
  2  0.385023     -0.122776      0.249947      0.00000    
  2  0.235679     -0.440940      0.185501      0.00000    
     113  0.00000       2
  2 -0.166942      0.562870E-01  0.485644      0.00000    
  2 -0.392800     -0.584784E-01 -0.912779E-01  0.00000    
     114  0.00000       2
  2 -0.400964      0.129039      0.724959E-01  0.00000    
  2  0.844988E-02  0.327722     -0.273036      0.00000    
     115  0.00000       2
  2  0.601288E-01 -0.309073E-03 -0.430510      0.00000    
  2  0.771285E-02  0.178524     -0.320460      0.00000    
     116  0.00000       2
  2 -0.139073     -0.100714     -0.394344      0.00000    
  2  0.294759      0.453186     -0.137643      0.00000    
     117  0.00000       2
  2 -0.257925E-01 -0.296055     -0.214875      0.00000    
  2 -0.273723      0.352081      0.520511E-01  0.00000    
     118  0.00000       2
  2  0.800940E-01  0.308108      0.502403      0.00000    
  2  0.134458      0.490802     -0.107939E-01  0.00000    
     119  0.00000       2
  2  0.224955      0.216274      0.184737      0.00000    
  2 -0.332197     -0.361068     -0.124357      0.00000    
     120  0.00000       2
  2 -0.725742E-01 -0.235702      0.489439      0.00000    
  2 -0.521801      0.118226     -0.412406E-01  0.00000    
     121  0.00000       2
  2 -0.479100E-01  0.552701E-02 -0.265670      0.00000    
  2  0.190658      0.317185     -0.167096      0.00000    
     122  0.00000       2
  2 -0.581153     -0.192215     -0.408715      0.00000    
  2 -0.149550     -0.908893E-01  0.344459      0.00000    
     123  0.00000       2
  2  0.909717E-01  0.412977     -0.327127      0.00000    
  2 -0.157398     -0.593010E-01 -0.292044      0.00000    
     124  0.00000       2
  2  0.158465     -0.379741E-01 -0.375234      0.00000    
  2 -0.162457     -0.360628     -0.321965      0.00000    
     125  0.00000       2
  2 -0.531321E-01  0.207275     -0.491562      0.00000    
  2 -0.279736      0.477551      0.392959      0.00000    
     126  0.00000       2
  2 -0.683404      0.319810      0.227055      0.00000    
  2  0.208277     -0.271177E-01 -0.126503      0.00000    
     127  0.00000       2
  2  0.480775E-02 -0.635831     -0.201435      0.00000    
  2  0.485733E-01  0.214508      0.670653E-01  0.00000    
     128  0.00000       2
  2  0.591967E-01  0.303727E-01 -0.255743      0.00000    
  2 -0.615155     -0.361473      0.469998E-01  0.00000    
     129  0.00000       2
  2 -0.151667     -0.280978      0.101027      0.00000    
  2  0.130594     -0.481927     -0.785239E-01  0.00000    
     130  0.00000       2
  2 -0.158228     -0.281713E-02 -0.510532      0.00000    
  2 -0.492600E-01  0.198159      0.269322E-01  0.00000    
     131  0.00000       2
  2 -0.326386      0.232741      0.109918      0.00000    
  2  0.519076      0.187264E-02 -0.394979E-01  0.00000    
     132  0.00000       2
  2 -0.207500     -0.358636     -0.567698      0.00000    
  2  0.380126E-01  0.222173      0.133162      0.00000    
     133  0.00000       2
  2  0.118369     -0.277894     -0.103367      0.00000    
  2  0.627535      0.276056      0.333358      0.00000    
     134  0.00000       2
  2 -0.378217      0.208492     -0.631022      0.00000    
  2 -0.217763     -0.377279      0.875836E-01  0.00000    
     135  0.00000       2
  2  0.310587      0.665706E-01 -0.206269      0.00000    
  2  0.758482E-01 -0.371759      0.264422      0.00000    
     136  0.00000       2
  2  0.260381     -0.219682      0.189278      0.00000    
  2 -0.189595      0.301857E-01  0.515193      0.00000    
     137  0.00000       2
  2  0.350431      0.286496      0.283594      0.00000    
  2 -0.108610      0.524206E-01  0.395510      0.00000    
     138  0.00000       2
  2  0.177130     -0.630215E-01 -0.198525      0.00000    
  2  0.354051      0.681858E-02  0.377887      0.00000    
     139  0.00000       2
  2  0.446417     -0.211324     -0.155570      0.00000    
  2  0.218068      0.292633      0.126723      0.00000    
     140  0.00000       2
  2 -0.658912      0.195089     -0.268987      0.00000    
  2  0.269695      0.633730E-01  0.524391      0.00000    
     141  0.00000       2
  2 -0.266861     -0.219571     -0.368854      0.00000    
