 DECAY0 generated file: test0nukb+                              

  date and hour         :    4. 6.2019    10:30:30
  initial random number :            0
    
  event type: Xe124           
              0nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  2  -1.58519      0.428701       1.54807      0.00000    
  1  0.157347E-01  0.326387E-03  0.276325E-01  0.00000    
      38  0.00000       2
  2 -0.182706E-01 -0.965859       2.03959      0.00000    
  1  0.175208E-01  0.217639E-01 -0.151853E-01  0.00000    
      39  0.00000       2
  2 -0.142444      -1.63686      -1.54711      0.00000    
  1 -0.203446E-01  0.191100E-01  0.152363E-01  0.00000    
      40  0.00000       2
  2 -0.611324      -2.02983     -0.774107      0.00000    
  1  0.159643E-01  0.658052E-02  0.267035E-01  0.00000    
      41  0.00000       2
  2   1.10005       1.33205       1.45213      0.00000    
  1  0.183726E-01  0.163134E-01 -0.201882E-01  0.00000    
      42  0.00000       2
  2   1.72504      -1.18899      0.838860      0.00000    
  1  0.159426E-01 -0.120258E-02 -0.274887E-01  0.00000    
      43  0.00000       2
  2   1.08997      -1.62501       1.12449      0.00000    
  1  0.463191E-02  0.239939E-01 -0.203489E-01  0.00000    
      44  0.00000       2
  2  0.420132      -2.09526      0.725622      0.00000    
  1 -0.380864E-02 -0.242342E-01 -0.202345E-01  0.00000    
      45  0.00000       2
  2   1.07825       1.35086       1.45111      0.00000    
  1  0.664936E-02 -0.372774E-02 -0.308728E-01  0.00000    
      46  0.00000       2
  2   1.60541     -0.320234      -1.55347      0.00000    
  1 -0.160552E-01  0.208072E-02  0.273705E-01  0.00000    
      47  0.00000       2
  2   1.24688      -1.87640     -0.132443      0.00000    
  1 -0.229052E-01 -0.220581E-01 -0.174493E-03  0.00000    
      48  0.00000       2
  2 -0.476639      0.363697      -2.17571      0.00000    
  1  0.121308E-01 -0.417615E-02  0.290971E-01  0.00000    
      49  0.00000       2
  2  -1.07063      0.538301       1.91236      0.00000    
  1 -0.305643E-01  0.875356E-02  0.663051E-03  0.00000    
      50  0.00000       2
  2  -1.19182       1.89253     -0.301758      0.00000    
  1  0.234844E-01 -0.229569E-02 -0.213179E-01  0.00000    
      51  0.00000       2
  2   1.69666      0.890507      -1.19227      0.00000    
  1  0.172830E-01 -0.100010E-01 -0.247492E-01  0.00000    
      52  0.00000       2
  2  0.685288      -2.12006      0.359023      0.00000    
  1 -0.232458E-01  0.129194E-01 -0.174344E-01  0.00000    
      53  0.00000       2
  2  -1.21196       1.68607      0.884023      0.00000    
  1  0.157248E-01 -0.143219E-01  0.236401E-01  0.00000    
      54  0.00000       2
  2  -1.52898     -0.445862      -1.59893      0.00000    
  1  0.259129E-01 -0.178790E-01  0.448376E-02  0.00000    
      55  0.00000       2
  2 -0.562009E-01 -0.215406      -2.24580      0.00000    
  1  0.248350E-01 -0.142899E-01 -0.137936E-01  0.00000    
      56  0.00000       2
  2   1.47543      -1.07514      -1.32678      0.00000    
  1  0.263307E-01 -0.149369E-01  0.973768E-02  0.00000    
      57  0.00000       2
  2 -0.746475      -2.09901     -0.360692      0.00000    
  1  0.103585E-01 -0.278697E-01  0.112793E-01  0.00000    
      58  0.00000       2
  2  -1.83914     -0.328534       1.26601      0.00000    
  1  0.166273E-01 -0.247939E-01  0.109561E-01  0.00000    
      59  0.00000       2
  2   1.98166     -0.204836       1.06029      0.00000    
  1 -0.152015E-01  0.168159E-01 -0.223020E-01  0.00000    
      60  0.00000       2
  2 -0.105564      0.349718       2.22704      0.00000    
  1  0.303229E-01  0.662669E-02  0.691713E-02  0.00000    
      61  0.00000       2
  2 -0.512373      -2.19786     -0.474330E-02  0.00000    
  1 -0.265335E-02 -0.292907E-01 -0.120936E-01  0.00000    
      62  0.00000       2
  2  -2.07854      0.366217      0.799196      0.00000    
  1 -0.204187E-01  0.198527E-01 -0.141488E-01  0.00000    
      63  0.00000       2
  2   1.31605      -1.56398     -0.956624      0.00000    
  1 -0.105553E-01 -0.160629E-01  0.253339E-01  0.00000    
      64  0.00000       2
  2   1.31919     -0.799126      -1.64751      0.00000    
  1 -0.134882E-01 -0.287841E-01 -0.887049E-03  0.00000    
      65  0.00000       2
  2   2.18141      0.227472     -0.531845      0.00000    
  1  0.176529E-01  0.257434E-01 -0.607378E-02  0.00000    
      66  0.00000       2
  2  -1.95791      0.387050      -1.05354      0.00000    
  1 -0.308079E-01 -0.617447E-02  0.489794E-02  0.00000    
      67  0.00000       2
  2  -1.93160     -0.335640      -1.11777      0.00000    
