 DECAY0 generated file: 0nu2bplus_test_rc.dat                   

  date and hour         :   12. 6.2019    10:36:33
  initial random number :            0
    
  event type: Xe124           
              0nubb(rc) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
  2  0.236416      0.301380      0.223480      0.00000    
      47  0.00000       2
  2  0.851907E-02 -0.310167      0.192305      0.00000    
  2  0.163762      0.105552       1.07570      0.00000    
      48  0.00000       2
  2  0.605061     -0.916425      0.355720E-01  0.00000    
  2 -0.275516      0.225686     -0.123452E-01  0.00000    
      49  0.00000       2
  2 -0.976918     -0.220903E-01 -0.253044      0.00000    
  2  0.379902      0.226440     -0.194914      0.00000    
      50  0.00000       2
  2  0.147837     -0.104493      0.411523      0.00000    
  2 -0.767541     -0.647919     -0.248864      0.00000    
      51  0.00000       2
  2  0.833448E-01  0.575598      0.546821      0.00000    
  2  0.101307     -0.717525      0.189628E-01  0.00000    
      52  0.00000       2
  2 -0.242574      -1.03051     -0.212798      0.00000    
  2 -0.343585      0.451834E-01 -0.168793      0.00000    
      53  0.00000       2
  2 -0.836061      0.531287     -0.504571E-01  0.00000    
  2 -0.351916     -0.348292     -0.103159      0.00000    
      54  0.00000       2
  2 -0.329893E-01 -0.538219      0.331028E-02  0.00000    
  2 -0.888848     -0.160766     -0.339239      0.00000    
      55  0.00000       2
  2 -0.566366E-01 -0.243298     -0.337842      0.00000    
  2 -0.162690     -0.134263E-01  -1.04335      0.00000    
      56  0.00000       2
  2  0.544487     -0.293350     -0.165317      0.00000    
  2 -0.158698     -0.234182     -0.830847      0.00000    
      57  0.00000       2
  2  0.440306      0.909439      0.339681      0.00000    
  2 -0.120536     -0.375669     -0.954022E-01  0.00000    
      58  0.00000       2
  2 -0.206143     -0.121863      0.350259      0.00000    
  2 -0.911812     -0.523764     -0.576239E-01  0.00000    
      59  0.00000       2
  2 -0.519160     -0.120387      0.934939      0.00000    
  2 -0.327838      0.254296E-01  0.211496      0.00000    
      60  0.00000       2
  2  0.470033     -0.328759      0.902783E-01  0.00000    
  2  0.826790      0.188825     -0.381945      0.00000    
      61  0.00000       2
  2 -0.374762     -0.240030     -0.116232      0.00000    
  2 -0.878855      0.426679     -0.317053      0.00000    
      62  0.00000       2
  2 -0.167371      0.151937      0.354025      0.00000    
  2  0.911275      0.434424     -0.310260      0.00000    
      63  0.00000       2
  2 -0.360406      0.305587      0.346576E-01  0.00000    
  2 -0.958427     -0.200814     -0.273408      0.00000    
      64  0.00000       2
  2 -0.957806     -0.360197     -0.356938E-01  0.00000    
  2  0.321689      0.332202     -0.408732E-01  0.00000    
      65  0.00000       2
  2 -0.477288E-02 -0.930847      0.362500      0.00000    
  2  0.488400E-01 -0.453413     -0.196998      0.00000    
      66  0.00000       2
  2 -0.119508      0.370196      0.473142      0.00000    
  2  0.613356     -0.650690     -0.121373      0.00000    
      67  0.00000       2
  2 -0.116897     -0.718674      0.701413      0.00000    
  2  0.470079E-01 -0.106705      0.466882      0.00000    
      68  0.00000       2
  2  0.556947      0.327710     -0.375759      0.00000    
  2 -0.106837E-01 -0.330429      0.702202      0.00000    
      69  0.00000       2
  2  0.509035     -0.459013      0.200239      0.00000    
  2  0.795320      0.522762E-01  0.137095      0.00000    
      70  0.00000       2
  2  0.159527      0.597185      0.212532      0.00000    
  2 -0.144536     -0.781566      0.342451      0.00000    
      71  0.00000       2
  2  0.247377     -0.373079     -0.342497E-01  0.00000    
  2  0.789648     -0.668610      0.351253E-01  0.00000    
      72  0.00000       2
  2  0.160405     -0.509126     -0.243370      0.00000    
  2  0.517046     -0.578010     -0.504107      0.00000    
      73  0.00000       2
  2  0.844148E-01 -0.345245     -0.277449      0.00000    
  2 -0.990210E-01 -0.480487      0.910051      0.00000    
      74  0.00000       2
  2 -0.277566     -0.451480     -0.306907      0.00000    
  2 -0.258119      0.417390      0.757399      0.00000    
      75  0.00000       2
  2 -0.273982      0.924785      0.385498      0.00000    
  2 -0.424985     -0.113754     -0.620045E-01  0.00000    
      76  0.00000       2
  2  -1.05602     -0.129679      0.108642      0.00000    
  2  0.120960      0.282742      0.257046      0.00000    
      77  0.00000       2
  2  0.811436      0.178016     -0.773650      0.00000    
  2  0.262058      0.130548      0.326516E-01  0.00000    
      78  0.00000       2
  2 -0.731581      0.692528      0.405074      0.00000    
  2 -0.365884     -0.282111E-01 -0.842132E-01  0.00000    
      79  0.00000       2
  2 -0.955304      0.986146E-01 -0.526101      0.00000    
  2 -0.266084     -0.769714E-01 -0.233335      0.00000    
      80  0.00000       2
  2  0.669837     -0.398543     -0.680254      0.00000    
  2 -0.321773      0.119280     -0.291044      0.00000    
      81  0.00000       2
  2  0.393069     -0.103237     -0.252799      0.00000    
  2  0.530849E-01 -0.143023E-01  -1.01152      0.00000    
      82  0.00000       2
  2 -0.397021E-01 -0.522340E-01  0.394923      0.00000    
  2  0.737628      0.758519     -0.158275      0.00000    
      83  0.00000       2
  2  0.202382      0.262577      0.428519      0.00000    
  2  0.495040      0.322379      0.760228      0.00000    
      84  0.00000       2
  2  -1.00170      0.176129      0.733539E-01  0.00000    
  2 -0.405540      0.210555      0.109198      0.00000    
      85  0.00000       2
  2 -0.176231     -0.338907      0.349916      0.00000    
  2 -0.940000     -0.219058      0.181440      0.00000    
      86  0.00000       2
  2 -0.299303     -0.720710E-01 -0.962594      0.00000    
  2  0.741790E-01  0.155251     -0.449943      0.00000    
      87  0.00000       2
  2 -0.558396      0.400547     -0.100309E-01  0.00000    
  2 -0.837303E-01  0.821382      0.119512      0.00000    
      88  0.00000       2
  2  0.101717      0.105266     -0.313586      0.00000    
  2   1.00793     -0.341909      0.297549      0.00000    
      89  0.00000       2
  2 -0.601074     -0.812286E-01 -0.224125      0.00000    
  2  0.728536     -0.477715     -0.340232E-01  0.00000    
      90  0.00000       2
  2  0.362116      0.103000      0.105852      0.00000    
  2 -0.739155     -0.223839      0.749343      0.00000    
      91  0.00000       2
  2 -0.261881E-01  0.277434     -0.215802      0.00000    
  2  0.691441      0.681933      0.519113      0.00000    
      92  0.00000       2
  2 -0.774652E-01  0.273188      0.415072      0.00000    
  2 -0.855346      0.109405     -0.494670      0.00000    
      93  0.00000       2
  2 -0.204159     -0.632904     -0.881285      0.00000    
  2 -0.313058     -0.146671     -0.386177E-01  0.00000    
      94  0.00000       2
  2 -0.463786     -0.447805      0.881001      0.00000    
  2  0.347875      0.944367E-01  0.710270E-01  0.00000    
      95  0.00000       2
  2 -0.116401     -0.634323E-01 -0.312276      0.00000    
  2  -1.10840      0.244114E-01  0.386599E-01  0.00000    
      96  0.00000       2
  2 -0.222237      0.221745      0.288013      0.00000    
  2  0.937512     -0.213291E-01  0.476501      0.00000    
      97  0.00000       2
  2  0.655499      0.541061E-01 -0.197103      0.00000    
  2  0.979862E-02  0.307014     -0.776290      0.00000    
      98  0.00000       2
  2  0.616123      0.691920      0.136573      0.00000    
  2  0.278074      0.200202     -0.459502      0.00000    
      99  0.00000       2
  2 -0.274283       1.00815      0.357044      0.00000    
  2 -0.261094     -0.116808     -0.197754      0.00000    
     100  0.00000       2
  2  0.258967E-01  0.951798      0.342039      0.00000    
  2 -0.441081     -0.128124      0.140401      0.00000    
     101  0.00000       2
  2 -0.105589      0.213291       1.09064      0.00000    
  2 -0.196847     -0.488833E-01 -0.257337      0.00000    
     102  0.00000       2
  2  0.593812      0.867633      0.527742E-01  0.00000    
  2 -0.399306      0.141828      0.309402E-01  0.00000    
     103  0.00000       2
  2 -0.172230E-01  0.204299      0.478103      0.00000    
  2 -0.970405      0.138332      0.158550E-01  0.00000    
     104  0.00000       2
  2  0.350396      0.428090     -0.145122      0.00000    
  2 -0.623645      0.617970      0.328952      0.00000    
     105  0.00000       2
  2 -0.529400     -0.712174      0.404601      0.00000    
  2 -0.371677E-02  0.438091      0.291981      0.00000    
     106  0.00000       2
  2  0.986815      0.357408E-01  0.195601      0.00000    
  2  0.462522      0.472359E-01 -0.144540      0.00000    
     107  0.00000       2
  2  -1.01695      0.395108      0.263363      0.00000    
  2 -0.191840      0.173031     -0.184348      0.00000    
     108  0.00000       2
  2 -0.480589      0.288646      0.171130      0.00000    
  2 -0.888814     -0.511638E-01 -0.252515      0.00000    
     109  0.00000       2
  2  0.687773E-01  0.897973     -0.256210      0.00000    
  2 -0.262019E-01  0.319503     -0.475377      0.00000    
     110  0.00000       2
  2 -0.464091      0.410356      0.881845E-01  0.00000    
  2 -0.672973      0.319358      0.488286      0.00000    
     111  0.00000       2
  2  0.960516E-01  0.401242      0.144925      0.00000    
  2 -0.885776      0.659904E-01 -0.548230      0.00000    
     112  0.00000       2
  2  0.394766     -0.192835     -0.283568E-01  0.00000    
  2  0.435578     -0.139296      0.935888      0.00000    
     113  0.00000       2
  2 -0.334749      0.310400     -0.163749      0.00000    
  2  0.703080      0.564651      0.450689      0.00000    
     114  0.00000       2
  2  0.100870     -0.462282     -0.682654E-01  0.00000    
  2  0.213371      0.645951     -0.751178      0.00000    
     115  0.00000       2
  2  0.396873      0.666657E-01 -0.889831      0.00000    
  2  0.340342     -0.338089     -0.212905      0.00000    
     116  0.00000       2
  2 -0.492152E-01  0.315735      0.924418E-02  0.00000    
  2 -0.589350      0.585286      0.752827      0.00000    
     117  0.00000       2
  2 -0.395368      0.187480      0.403188E-01  0.00000    
  2 -0.561416      0.858376      0.185186      0.00000    
     118  0.00000       2
  2  0.200697     -0.617054      0.270867      0.00000    
  2 -0.303483     -0.756137     -0.852586E-01  0.00000    
     119  0.00000       2
  2  0.416494      0.957344     -0.155777E-01  0.00000    
  2  0.140355      0.286300      0.298576      0.00000    
     120  0.00000       2
  2 -0.313371     -0.285115     -0.857172      0.00000    
  2 -0.214601     -0.412140     -0.293866      0.00000    
     121  0.00000       2
  2 -0.739455E-01  0.484935      0.261549      0.00000    
  2  0.581931      0.680650     -0.320284      0.00000    
     122  0.00000       2
  2  0.279185      0.354378      0.107874      0.00000    
  2  0.359693      0.883980     -0.371733      0.00000    
     123  0.00000       2
  2 -0.221157     -0.396752E-01  -1.02725      0.00000    
  2 -0.145031      0.322678     -0.238236      0.00000    
     124  0.00000       2
  2 -0.477792E-01 -0.114492      0.977701      0.00000    
  2 -0.494384     -0.523918E-01 -0.129437      0.00000    
     125  0.00000       2
  2  0.318160     -0.143440      0.450814      0.00000    
  2 -0.417073     -0.839979     -0.489256E-01  0.00000    
     126  0.00000       2
  2  0.300690E-01 -0.227104       1.03848      0.00000    
  2 -0.393570      0.101366     -0.507711E-01  0.00000    
     127  0.00000       2
  2 -0.655269      0.567410      0.320519      0.00000    
  2  0.640721E-01  0.542564      0.216303      0.00000    
     128  0.00000       2
  2  0.231445E-01  0.435815      0.628464E-01  0.00000    
  2 -0.455786      0.929521      0.110689      0.00000    
     129  0.00000       2
  2 -0.896771     -0.528788      0.940885E-01  0.00000    
  2 -0.267228      0.289419      0.185002      0.00000    
     130  0.00000       2
  2 -0.271932     -0.434817     -0.290945      0.00000    
  2  0.727470     -0.377022      0.423632      0.00000    
     131  0.00000       2
  2  0.886103E-03 -0.116520     -0.543523      0.00000    
  2  0.587630     -0.262266     -0.700343      0.00000    
     132  0.00000       2
  2  0.421548     -0.194783      0.167927      0.00000    
  2  0.594404     -0.726206     -0.349064      0.00000    
     133  0.00000       2
  2 -0.434261      0.381157E-01 -0.293301      0.00000    
  2 -0.274637      0.545918     -0.761185      0.00000    
     134  0.00000       2
  2 -0.634776      0.151856      0.875421      0.00000    
  2  0.161871     -0.859509E-01  0.317948      0.00000    
     135  0.00000       2
  2 -0.222543      0.603449     -0.696572      0.00000    
  2  0.350168     -0.412641      0.141742      0.00000    
     136  0.00000       2
  2  0.356613     -0.212946      0.365533      0.00000    
  2 -0.103312      0.131848      0.938411      0.00000    
     137  0.00000       2
  2  0.200020     -0.949036      0.365223      0.00000    
  2 -0.161296     -0.150120      0.389462      0.00000    
     138  0.00000       2
  2  0.298992     -0.290720      0.429191      0.00000    
  2 -0.199566     -0.187262      0.872869      0.00000    
     139  0.00000       2
  2 -0.134432E-01  0.200083     -0.132066      0.00000    
  2 -0.753606     -0.561638     -0.684653      0.00000    
     140  0.00000       2
  2  0.620622      0.509188     -0.614663      0.00000    
  2  0.337269      0.178919E-01 -0.342682      0.00000    
     141  0.00000       2
  2 -0.791083E-01  0.263550      0.872969E-01  0.00000    
  2  -1.00103     -0.104496E-02 -0.542112      0.00000    
     142  0.00000       2
  2 -0.389447     -0.161909      0.924038      0.00000    
  2  0.190365     -0.433204      0.419044E-01  0.00000    
     143  0.00000       2
  2 -0.115127     -0.249559     -0.173542      0.00000    
  2  0.611170      0.715736     -0.603157      0.00000    
     144  0.00000       2
  2  0.111502      0.635963      0.690555E-01  0.00000    
  2  0.754072     -0.222652     -0.370970      0.00000    
     145  0.00000       2
  2 -0.640028      0.202329     -0.302935      0.00000    
  2  0.302023     -0.178007      0.704639      0.00000    
     146  0.00000       2
  2 -0.184507      0.116271     -0.509833      0.00000    
  2  0.527504      0.336192     -0.717940      0.00000    
     147  0.00000       2
  2  0.466475     -0.184624     -0.382875      0.00000    
  2 -0.444018      0.193887      0.741652      0.00000    
     148  0.00000       2
  2 -0.295305      0.998117      0.359459      0.00000    
  2 -0.214521     -0.241418      0.141058      0.00000    
     149  0.00000       2
  2 -0.336364E-01  0.480200     -0.297845      0.00000    
  2 -0.777043     -0.517988      0.127450      0.00000    
     150  0.00000       2
  2  0.415963      0.260692     -0.127514      0.00000    
  2 -0.877672      0.234520     -0.395286      0.00000    
     151  0.00000       2
  2  0.207692      0.225833      0.511669      0.00000    
  2 -0.790791      0.884524E-02 -0.462894      0.00000    
     152  0.00000       2
  2  0.145319E-01 -0.826792E-01  0.994842      0.00000    
  2 -0.338690      0.311594      0.188957      0.00000    
     153  0.00000       2
  2 -0.937488      0.219458      0.398187      0.00000    
  2 -0.176596      0.402665     -0.129205E-01  0.00000    
     154  0.00000       2
  2  0.619810E-01  -1.11754     -0.296237      0.00000    
  2  0.146065     -0.343966E-01  0.200824      0.00000    
     155  0.00000       2
  2  0.815850      0.466465     -0.367666      0.00000    
  2  0.831633E-01 -0.454314     -0.143497      0.00000    
     156  0.00000       2
  2 -0.406359      0.255403     -0.415311E-01  0.00000    
  2 -0.875727      0.978800E-01  0.494812      0.00000    
     157  0.00000       2
  2  0.875105E-01  0.397034      0.298868      0.00000    
  2  0.198678      0.763844      0.602254      0.00000    
     158  0.00000       2
  2 -0.719531E-01  0.343060      0.486641      0.00000    
  2  0.775242     -0.460619      0.146761      0.00000    
